! (Pin, Pout) in dBm
! @ 4.420 GHz
-25     ,  -10.291759110033
-24.75  ,  -10.04028622288
-24.5   ,  -9.796555600577
-24.25  ,  -9.5416853027413
-24     ,  -9.2922409240528
-23.75  ,  -9.0431317740179
-23.5   ,  -8.7956694990068
-23.25  ,  -8.5462257357377
-23     ,  -8.2938494476917
-22.75  ,  -8.0415351411251
-22.5   ,  -7.795124440426
-22.25  ,  -7.5435131097098
-22     ,  -7.2942242394786
-21.75  ,  -7.0443875925072
-21.5   ,  -6.7956294818929
-21.25  ,  -6.5443298771146
-21     ,  -6.2950965580628
-20.75  ,  -6.0437369658662
-20.5   ,  -5.7945477955437
-20.25  ,  -5.5443385452906
-20     ,  -5.2973666226274
-19.75  ,  -5.0433374199238
-19.5   ,  -4.7950913398481
-19.25  ,  -4.5475352842825
-19     ,  -4.2997855659648
-18.75  ,  -4.0470825607429
-18.5   ,  -3.793053566615
-18.25  ,  -3.5489992898364
-18     ,  -3.2983884204001
-17.75  ,  -3.0489423884648
-17.5   ,  -2.7997219352767
-17.25  ,  -2.5483546116774
-17     ,  -2.2988040327995
-16.75  ,  -2.0489528791697
-16.5   ,  -1.8006838928789
-16.25  ,  -1.5540279347101
-16     ,  -1.2991963239039
-15.75  ,  -1.0523372509896
-15.5   ,  -0.80408416359736
-15.25  ,  -0.55087989897186
-15     ,  -0.30394502154658
-14.75  ,  -0.054963391765792
-14.5   ,  0.1966768539057
-14.25  ,  0.44404483355294
-14     ,  0.69333859569396
-13.75  ,  0.94062930123665
-13.5   ,  1.1899854105661
-13.25  ,  1.4413288302607
-13     ,  1.6898111986415
-12.75  ,  1.9388170747105
-12.5   ,  2.1887405021761
-12.25  ,  2.4367537716245
-12     ,  2.6853538251674
-11.75  ,  2.9335072484622
-11.5   ,  3.1820276952811
-11.25  ,  3.4299805952536
-11     ,  3.677658467158
-10.75  ,  3.9264204551853
-10.5   ,  4.1760146595543
-10.25  ,  4.4227545457046
-10     ,  4.6699967169416
-9.75   ,  4.918275639856
-9.5    ,  5.1646976133888
-9.25   ,  5.4133357353634
-9      ,  5.6613883339422
-8.75   ,  5.9078042392826
-8.5    ,  6.1547666731048
-8.25   ,  6.4009170640624
-8      ,  6.647649152315
-7.75   ,  6.8943073218264
-7.5    ,  7.1405462145152
-7.25   ,  7.3867263779355
-7      ,  7.6314896719655
-6.75   ,  7.8768789412546
-6.5    ,  8.1222448409548
-6.25   ,  8.3671249902919
-6      ,  8.6113804167585
-5.75   ,  8.8554355572639
-5.5    ,  9.0985631022564
-5.25   ,  9.3403405400584
-5      ,  9.5833746474282
-4.75   ,  9.8256059155964
-4.5    ,  10.067327063562
-4.25   ,  10.307169396719
-4      ,  10.546841247645
-3.75   ,  10.785215755664
-3.5    ,  11.022999121422
-3.25   ,  11.259393398524
-3      ,  11.494369156836
-2.75   ,  11.727319036924
-2.5    ,  11.959836755636
-2.25   ,  12.190160390826
-2      ,  12.41645380487
-1.75   ,  12.641900869774
-1.5    ,  12.862394650662
-1.25   ,  13.078193306399
-1      ,  13.290229807838
-0.75   ,  13.497088622956
-0.5    ,  13.698472987418
-0.25   ,  13.894749308787
0       ,  14.08041084835
0.25    ,  14.255544207259
0.5     ,  14.419993416889
0.75    ,  14.580339350029
1       ,  14.735482377397
1.25    ,  14.879706270839
1.5     ,  15.019625427747
1.75    ,  15.14912499933
2       ,  15.272645583675
2.25    ,  15.391863638567
2.5     ,  15.512260312402
2.75    ,  15.624484783211
3       ,  15.727617537281
3.25    ,  15.83196702713
3.5     ,  15.934318116369
3.75    ,  16.027056262921
4       ,  16.122257851738
4.25    ,  16.21073291374
4.5     ,  16.296163691042
4.75    ,  16.386059084998
5       ,  16.463729740006
5.25    ,  16.61143748656
5.5     ,  16.691059607249
5.75    ,  16.784603223277
6       ,  16.876322371172
6.25    ,  16.931646957926
6.5     ,  16.989999335426
6.75    ,  17.048786799275
7       ,  17.112857923722
7.25    ,  17.172441789837
7.5     ,  17.240968037814
7.75    ,  17.298381896435
8       ,  17.370220443815
8.25    ,  17.421683338476
8.5     ,  17.493437530492
8.75    ,  17.554348394285
9       ,  17.618613372931
9.25    ,  17.674415801478
9.5     ,  17.72948539377
9.75    ,  17.791124341873
10      ,  17.855390392234
